Name,Team Name,Age,age_group,Position,Injury,injury_month_name,injury_year,avg_before,avg_after,performance_drop,performance_change,recovery_days,injury_count,injury_month_num
Matt Ritchie,Newcastle,31,Senior,Right Midfielder,Shoulder Injury,September,2020,6.0,5.9,0.1,Dropped,59.0,1,9.0
Allan Saint-Maximin,Newcastle,24,Prime,Left Winger,Ankle Injury,September,2020,6.0,7.37,-1.37,Improved,10.0,1,9.0
Allan Saint-Maximin,Newcastle,24,Prime,Left Winger,Calf Injury,November,2020,6.07,5.73,0.33,Dropped,61.0,1,11.0
Allan Saint-Maximin,Newcastle,24,Prime,Left Winger,Groin Injury,February,2021,6.83,6.53,0.3,Dropped,35.0,1,2.0
Miguel Almirón,Newcastle,27,Prime,Right Winger,Knee Injury,February,2021,6.0,6.13,-0.13,Improved,15.0,1,2.0
Dwight Gayle,Newcastle,31,Senior,Center Forward,Inner Ligament Injury,September,2020,,7.15,,No Change,97.0,1,9.0
Jamal Lewis,Newcastle,23,Prime,Left Back,Knee Problems,December,2020,5.9,5.67,0.23,Dropped,15.0,1,12.0
Ryan Fraser,Newcastle,27,Prime,Left Winger,Hamstring Injury,November,2020,5.5,7.1,-1.6,Improved,43.0,1,11.0
Callum Wilson,Newcastle,29,Prime,Center Forward,Hamstring Strain,November,2020,6.23,6.6,-0.37,Improved,19.0,1,11.0
Callum Wilson,Newcastle,29,Prime,Center Forward,Hamstring Injury,February,2021,7.17,5.7,1.47,Dropped,56.0,1,2.0
Paul Dummett,Newcastle,30,Senior,Center Back,Calf Injury,July,2021,,6.5,,No Change,157.0,1,7.0
Joelinton,Newcastle,25,Prime,Central Midfielder,Knock,March,2022,6.9,6.1,0.8,Dropped,8.0,1,3.0
Jonjo Shelvey,Newcastle,30,Senior,Central Midfielder,Calf Injury,August,2021,7.0,6.0,1.0,Dropped,61.0,1,8.0
Jonjo Shelvey,Newcastle,30,Senior,Central Midfielder,Muscle Injury,December,2021,6.67,7.67,-1.0,Improved,9.0,1,12.0
Allan Saint-Maximin,Newcastle,25,Prime,Left Winger,Ill & Knock,February,2022,7.33,6.0,1.33,Dropped,26.0,1,2.0
Joe Willock,Newcastle,22,Young,Central Midfielder,Coronavirus,December,2021,5.65,6.6,-0.95,Improved,10.0,1,12.0
Joe Willock,Newcastle,22,Young,Central Midfielder,Knee Injury,April,2022,6.43,6.0,0.43,Dropped,6.0,1,4.0
Callum Wilson,Newcastle,30,Senior,Center Forward,Hamstring Injury,August,2021,6.33,6.13,0.2,Dropped,48.0,1,8.0
Callum Wilson,Newcastle,30,Senior,Center Forward,Calf Injury,December,2021,5.65,6.6,-0.95,Improved,125.0,1,12.0
Kieran Trippier,Newcastle,31,Senior,Right Back,Metatarsal Fracture,February,2022,7.27,6.3,0.97,Dropped,77.0,1,2.0
Fabian Schär,Newcastle,31,Senior,Center Back,Concussion,February,2023,6.2,6.63,-0.43,Improved,6.0,1,2.0
Sean Longstaff,Newcastle,25,Prime,Central Midfielder,Outer Ligament Problems,April,2023,6.43,6.3,0.13,Dropped,23.0,1,4.0
Miguel Almirón,Newcastle,29,Prime,Right Winger,Thigh Problems,March,2023,5.85,5.9,-0.05,Improved,31.0,1,3.0
Callum Wilson,Newcastle,31,Senior,Center Forward,Hamstring Injury,August,2022,6.27,6.23,0.03,Dropped,35.0,1,8.0
Bruno Guimarães,Newcastle,25,Prime,Defensive Midfielder,Hamstring Injury,August,2022,6.8,7.8,-1.0,Improved,22.0,1,8.0
Bruno Guimarães,Newcastle,25,Prime,Defensive Midfielder,Ankle Injury,February,2023,6.5,6.6,-0.1,Improved,19.0,1,2.0
Alexander Isak,Newcastle,23,Prime,Center Forward,Thigh Problems,September,2022,6.77,6.5,0.27,Dropped,,1,9.0
Fabian Schär,Newcastle,32,Senior,Center Back,Hamstring Injury,April,2024,6.5,5.7,0.8,Dropped,18.0,1,4.0
Joelinton,Newcastle,27,Prime,Central Midfielder,Hamstring Injury,September,2023,6.37,7.03,-0.67,Improved,32.0,1,9.0
Joelinton,Newcastle,27,Prime,Central Midfielder,Hamstring Injury,December,2023,6.53,6.6,-0.07,Improved,9.0,1,12.0
Sean Longstaff,Newcastle,26,Prime,Central Midfielder,Ankle Injury,November,2023,6.3,6.4,-0.1,Improved,27.0,1,11.0
Joe Willock,Newcastle,24,Prime,Central Midfielder,Hamstring Injury,August,2023,,6.4,,No Change,83.0,1,8.0
Joe Willock,Newcastle,24,Prime,Central Midfielder,Achilles Tendon Problems,November,2023,6.4,6.5,-0.1,Improved,91.0,1,11.0
Callum Wilson,Newcastle,32,Senior,Center Forward,Hamstring Injury,September,2023,7.0,7.2,-0.2,Improved,13.0,1,9.0
Callum Wilson,Newcastle,32,Senior,Center Forward,Hamstring Injury,November,2023,6.7,6.3,0.4,Dropped,31.0,1,11.0
Callum Wilson,Newcastle,32,Senior,Center Forward,Calf Injury,December,2023,6.3,5.7,0.6,Dropped,37.0,1,12.0
Callum Wilson,Newcastle,32,Senior,Center Forward,Chest Injury,February,2024,5.7,7.1,-1.4,Improved,64.0,1,2.0
Dan Burn,Newcastle,32,Senior,Center Back,Back Injury,November,2023,6.4,6.97,-0.57,Improved,37.0,1,11.0
Kieran Trippier,Newcastle,33,Senior,Right Back,Groin Injury,December,2023,6.9,7.2,-0.3,Improved,10.0,1,12.0
Kieran Trippier,Newcastle,33,Senior,Right Back,Calf Injury,March,2024,5.8,6.0,-0.2,Improved,69.0,1,3.0
Sven Botman,Newcastle,24,Prime,Center Back,Ankle Injury,August,2023,6.83,7.8,-0.97,Improved,19.0,1,8.0
Sven Botman,Newcastle,24,Prime,Center Back,Knee Injury,September,2023,7.8,5.7,2.1,Dropped,78.0,1,9.0
Lewis Miley,Newcastle,18,Young,Central Midfielder,Fever,October,2023,,6.93,,No Change,16.0,1,10.0
Alexander Isak,Newcastle,24,Prime,Center Forward,Groin Injury,October,2023,7.8,6.23,1.57,Dropped,30.0,1,10.0
Alexander Isak,Newcastle,24,Prime,Center Forward,Groin Injury,January,2024,6.87,6.57,0.3,Dropped,24.0,1,1.0
Tino Livramento,Newcastle,21,Young,Right Back,Ankle Injury,March,2024,5.95,6.8,-0.85,Improved,32.0,1,3.0
Harvey Barnes,Newcastle,26,Prime,Left Winger,Foot Injury,September,2023,6.15,6.4,-0.25,Improved,130.0,1,9.0
Harvey Barnes,Newcastle,26,Prime,Left Winger,Hamstring Injury,March,2024,6.4,7.9,-1.5,Improved,28.0,1,3.0
Fabian Schär,Newcastle,32,Senior,Center Back,Concussion,February,2023,5.93,6.63,-0.7,Improved,6.0,1,2.0
Nick Pope,Newcastle,32,Senior,Goalkeeper,Shoulder Injury,December,2023,6.9,6.1,0.8,Dropped,152.0,1,12.0
Sead Kolasinac,Arsenal,27,Prime,Center Back,Hamstring Injury,November,2019,6.8,6.5,0.3,Dropped,13.0,1,11.0
Sead Kolasinac,Arsenal,27,Prime,Center Back,Arm Injury,February,2020,5.7,6.7,-1.0,Improved,112.0,1,2.0
Sead Kolasinac,Arsenal,27,Prime,Center Back,Muscle Strain,January,2020,6.3,5.7,0.6,Dropped,31.0,1,1.0
Sead Kolasinac,Arsenal,27,Prime,Center Back,Ankle Injury,December,2019,6.27,6.3,-0.03,Improved,14.0,1,12.0
Sokratis Papastathopoulos,Arsenal,32,Senior,Center Back,Concussion,December,2019,6.37,7.05,-0.68,Improved,3.0,1,12.0
Shkodran Mustafi,Arsenal,28,Prime,Center Back,Muscle Strain,February,2020,7.2,5.97,1.23,Dropped,15.0,1,2.0
Kieran Tierney,Arsenal,23,Prime,Left Back,Shoulder Injury,December,2019,6.0,6.25,-0.25,Improved,96.0,1,12.0
Kieran Tierney,Arsenal,23,Prime,Left Back,Groin Injury,September,2020,7.1,6.5,0.6,Dropped,14.0,1,9.0
Kieran Tierney,Arsenal,23,Prime,Left Back,Knee Injury,January,2021,7.83,6.5,1.33,Dropped,28.0,1,1.0
Kieran Tierney,Arsenal,23,Prime,Left Back,Knee Injury,April,2021,6.7,6.4,0.3,Dropped,32.0,1,4.0
Héctor Bellerín,Arsenal,25,Prime,Right Back,Hamstring Injury,December,2019,6.07,7.03,-0.97,Improved,39.0,1,12.0
Cédric Soares,Arsenal,28,Prime,Right Back,Broken Nose And Knee Injury,January,2020,,6.1,,No Change,157.0,1,1.0
Lucas Torreira,Arsenal,24,Prime,Defensive Midfielder,Ankle Injury,March,2020,6.2,6.0,0.2,Dropped,122.0,1,3.0
Granit Xhaka,Arsenal,27,Prime,Defensive Midfielder,Back Injury,August,2019,7.1,6.7,0.4,Dropped,11.0,1,8.0
Granit Xhaka,Arsenal,27,Prime,Defensive Midfielder,Concussion,December,2019,6.43,7.1,-0.67,Improved,8.0,1,12.0
Granit Xhaka,Arsenal,27,Prime,Defensive Midfielder,Ankle Injury,June,2020,6.57,6.87,-0.3,Improved,6.0,1,6.0
Mesut Özil,Arsenal,31,Senior,Attacking Midfielder,Ankle Injury,December,2019,6.47,6.07,0.4,Dropped,10.0,1,12.0
Gabriel Martinelli,Arsenal,19,Young,Left Winger,Hamstring Injury,December,2019,6.57,6.33,0.23,Dropped,14.0,1,12.0
Nicolas Pépé,Arsenal,25,Prime,Right Winger,Muscle Fatigue,July,2020,6.45,6.0,0.45,Dropped,4.0,1,7.0
Reiss Nelson,Arsenal,20,Young,Right Winger,Hamstring Injury,January,2020,5.75,6.0,-0.25,Improved,46.0,1,1.0
Alexandre Lacazette,Arsenal,29,Prime,Center Forward,Ankle Injury,September,2019,7.45,6.5,0.95,Dropped,48.0,1,9.0
Shkodran Mustafi,Arsenal,29,Prime,Center Back,Muscle Injury,July,2020,6.6,7.0,-0.4,Improved,97.0,1,7.0
David Luiz,Arsenal,33,Senior,Center Back,Hamstring Injury,October,2020,6.7,5.3,1.4,Dropped,8.0,1,10.0
David Luiz,Arsenal,33,Senior,Center Back,Neck Injury,September,2020,,5.95,,No Change,7.0,1,9.0
David Luiz,Arsenal,33,Senior,Center Back,Ill,December,2020,6.35,6.83,-0.48,Improved,7.0,1,12.0
David Luiz,Arsenal,33,Senior,Center Back,Head Injury,December,2020,5.3,6.35,-1.05,Improved,7.0,1,12.0
Rob Holding,Arsenal,25,Prime,Center Back,Hamstring Injury,October,2020,6.67,6.57,0.1,Dropped,60.0,1,10.0
Pablo Marí,Arsenal,27,Prime,Center Back,Calf Injury,January,2021,6.67,6.33,0.33,Dropped,25.0,1,1.0
Granit Xhaka,Arsenal,28,Prime,Defensive Midfielder,Ill,April,2021,6.7,7.23,-0.53,Improved,3.0,1,4.0
Granit Xhaka,Arsenal,28,Prime,Defensive Midfielder,Groin Injury,May,2021,7.57,7.6,-0.03,Improved,10.0,1,5.0
Dani Ceballos,Arsenal,24,Prime,Central Midfielder,Calf Injury,January,2021,7.8,6.9,0.9,Dropped,17.0,1,1.0
Gabriel Martinelli,Arsenal,20,Young,Left Winger,Ankle Injury,January,2021,5.6,6.1,-0.5,Improved,8.0,1,1.0
Bukayo Saka,Arsenal,19,Young,Right Winger,Hip Problems,January,2021,7.73,6.83,0.9,Dropped,3.0,1,1.0
Pierre-Emerick Aubameyang,Arsenal,32,Senior,Center Forward,Calf Injury,December,2020,6.13,6.4,-0.27,Improved,11.0,1,12.0
Pierre-Emerick Aubameyang,Arsenal,32,Senior,Center Forward,Knock,January,2021,7.0,9.0,-2.0,Improved,14.0,1,1.0
Pierre-Emerick Aubameyang,Arsenal,32,Senior,Center Forward,Malaria,April,2021,6.23,6.4,-0.17,Improved,18.0,1,4.0
Thomas Partey,Arsenal,28,Prime,Defensive Midfielder,Muscle Injury,November,2020,6.93,6.3,0.63,Dropped,24.0,1,11.0
Thomas Partey,Arsenal,28,Prime,Defensive Midfielder,Hip Injury,December,2020,6.3,7.3,-1.0,Improved,39.0,1,12.0
Thomas Partey,Arsenal,28,Prime,Defensive Midfielder,Hamstring Injury,February,2021,6.5,6.55,-0.05,Improved,18.0,1,2.0
Mohamed Elneny,Arsenal,28,Prime,Defensive Midfielder,Virus,November,2020,6.6,6.33,0.27,Dropped,12.0,1,11.0
Martin Ødegaard,Arsenal,22,Young,Attacking Midfielder,Ankle Injury,April,2021,7.1,6.35,0.75,Dropped,15.0,1,4.0
Willian,Arsenal,32,Senior,Left Winger,Calf Injury,November,2020,5.9,6.17,-0.27,Improved,5.0,1,11.0
Willian,Arsenal,32,Senior,Left Winger,Ill,December,2020,6.9,6.15,0.75,Dropped,7.0,1,12.0
Granit Xhaka,Arsenal,29,Prime,Defensive Midfielder,Inner Ligament Injury,September,2021,7.1,6.53,0.57,Dropped,69.0,1,9.0
Pierre-Emerick Aubameyang,Arsenal,33,Senior,Center Forward,Coronavirus,August,2021,,6.1,,No Change,14.0,1,8.0
Gabriel Magalhães,Arsenal,24,Prime,Center Back,Knee Injury,July,2021,,7.13,,No Change,50.0,1,7.0
Thomas Partey,Arsenal,29,Prime,Defensive Midfielder,Ankle Injury,July,2021,,6.77,,No Change,32.0,1,7.0
Ben White,Arsenal,24,Prime,Right Back,Hamstring Injury,April,2022,6.4,5.3,1.1,Dropped,20.0,1,4.0
Takehiro Tomiyasu,Arsenal,23,Prime,Right Back,Calf Injury,February,2022,6.4,6.6,-0.2,Improved,60.0,1,2.0
Eddie Nketiah,Arsenal,24,Prime,Center Forward,Ankle Injury,March,2023,7.0,6.0,1.0,Dropped,42.0,1,3.0
Thomas Partey,Arsenal,30,Senior,Defensive Midfielder,Thigh Problems,August,2022,7.13,7.37,-0.23,Improved,21.0,1,8.0
Oleksandr Zinchenko,Arsenal,26,Prime,Left Back,Knee Problems And Calf Injury,August,2022,7.2,6.9,0.3,Dropped,67.0,1,8.0
Oleksandr Zinchenko,Arsenal,26,Prime,Left Back,Unknown Injury,April,2023,6.7,6.2,0.5,Dropped,3.0,1,4.0
Gabriel Jesus,Arsenal,26,Prime,Center Forward,Knee Injury,December,2022,7.83,9.0,-1.17,Improved,99.0,1,12.0
Gabriel Martinelli,Arsenal,23,Prime,Left Winger,Hamstring Injury,September,2023,6.63,6.9,-0.27,Improved,20.0,1,9.0
Gabriel Martinelli,Arsenal,23,Prime,Left Winger,Foot Injury,March,2024,7.33,8.0,-0.67,Improved,24.0,1,3.0
Bukayo Saka,Arsenal,22,Young,Right Winger,Unknown Injury,March,2024,6.33,7.13,-0.8,Improved,16.0,1,3.0
Bukayo Saka,Arsenal,22,Young,Right Winger,Thigh Problems,October,2023,7.5,6.73,0.77,Dropped,18.0,1,10.0
Thomas Partey,Arsenal,31,Senior,Defensive Midfielder,Groin Injury,September,2023,7.37,6.0,1.37,Dropped,31.0,1,9.0
Martin Ødegaard,Arsenal,25,Prime,Attacking Midfielder,Hip Problems,November,2023,7.07,7.73,-0.67,Improved,19.0,1,11.0
Ben White,Arsenal,26,Prime,Right Back,Knee Injury,November,2023,6.43,7.2,-0.77,Improved,11.0,1,11.0
Oleksandr Zinchenko,Arsenal,27,Prime,Left Back,Calf Problems,December,2023,7.03,7.27,-0.23,Improved,19.0,1,12.0
Gabriel Jesus,Arsenal,27,Prime,Center Forward,Hamstring Injury,October,2023,6.3,6.97,-0.67,Improved,26.0,1,10.0
Gabriel Jesus,Arsenal,27,Prime,Center Forward,Knee Injury,January,2024,7.7,6.6,1.1,Dropped,13.0,1,1.0
Tyrone Mings,Aston Villa,28,Prime,Center Back,Muscle Strain,December,2019,5.93,6.07,-0.13,Improved,22.0,1,12.0
Anwar El Ghazi,Aston Villa,24,Prime,Right Winger,Knee Injury,December,2019,6.33,5.87,0.47,Dropped,5.0,1,12.0
Matt Targett,Aston Villa,24,Prime,Left Back,Muscle Strain,June,2020,6.67,6.43,0.23,Dropped,13.0,1,6.0
Matt Targett,Aston Villa,24,Prime,Left Back,Hamstring Injury,December,2019,6.3,6.63,-0.33,Improved,17.0,1,12.0
Matt Targett,Aston Villa,24,Prime,Left Back,Hamstring Injury,August,2019,,7.47,,No Change,26.0,1,8.0
Jack Grealish,Aston Villa,24,Prime,Left Winger,Calf Injury,October,2019,7.83,7.63,0.2,Dropped,28.0,1,10.0
Björn Engels,Aston Villa,25,Prime,Center Back,Groin Injury,November,2019,5.53,5.5,0.03,Dropped,27.0,1,11.0
Tom Heaton,Aston Villa,34,Senior,Goalkeeper,Calf Strain,November,2019,6.43,7.23,-0.8,Improved,15.0,1,11.0
Matty Cash,Aston Villa,24,Prime,Right Back,Hamstring Injury,February,2021,6.07,6.25,-0.18,Improved,,1,2.0
Ezri Konsa,Aston Villa,23,Prime,Center Back,Bruise,December,2020,6.7,6.0,0.7,Dropped,12.0,1,12.0
Bertrand Traoré,Aston Villa,24,Prime,Right Winger,Bruised Ribs,November,2020,5.2,6.2,-1.0,Improved,18.0,1,11.0
Douglas Luiz,Aston Villa,23,Prime,Central Midfielder,Hamstring Injury,October,2020,6.27,6.7,-0.43,Improved,31.0,1,10.0
Ross Barkley,Aston Villa,27,Prime,Central Midfielder,Hamstring Injury,November,2020,6.97,6.23,0.73,Dropped,59.0,1,11.0
Lucas Digne,Aston Villa,28,Prime,Left Back,Shoulder Injury,April,2022,6.35,6.47,-0.12,Improved,16.0,1,4.0
Lucas Digne,Aston Villa,28,Prime,Left Back,Hamstring Injury,March,2022,7.2,6.3,0.9,Dropped,7.0,1,3.0
Morgan Sanson,Aston Villa,27,Prime,Central Midfielder,Coronavirus,December,2021,,6.0,,No Change,13.0,1,12.0
Matty Cash,Aston Villa,25,Prime,Right Back,Calf Injury,March,2023,6.8,6.2,0.6,Dropped,35.0,1,3.0
Matty Cash,Aston Villa,25,Prime,Right Back,Tendon Rupture,September,2022,6.0,6.45,-0.45,Improved,25.0,1,9.0
John McGinn,Aston Villa,28,Prime,Central Midfielder,Hamstring Strain,January,2023,6.1,6.7,-0.6,Improved,34.0,1,1.0
Lucas Digne,Aston Villa,29,Prime,Left Back,Shoulder Injury,January,2023,6.33,5.85,0.48,Dropped,20.0,1,1.0
Lucas Digne,Aston Villa,29,Prime,Left Back,Ankle Injury,September,2022,6.23,6.45,-0.22,Improved,40.0,1,9.0
acob Ramsey,Aston Villa,22,Young,Attacking Midfielder,Hamstring Injury,November,2022,6.4,6.23,0.17,Dropped,46.0,1,11.0
Boubacar Kamara,Aston Villa,23,Prime,Defensive Midfielder,Knee Injury,September,2022,6.4,6.15,0.25,Dropped,46.0,1,9.0
Matty Cash,Aston Villa,26,Prime,Right Back,Hamstring Injury,March,2024,6.0,5.5,0.5,Dropped,22.0,1,3.0
Matty Cash,Aston Villa,26,Prime,Right Back,Ill,December,2023,6.7,4.5,2.2,Dropped,2.0,1,12.0
Diego Carlos,Aston Villa,31,Senior,Center Back,Hamstring Injury,February,2024,6.7,6.7,0.0,No Change,20.0,1,2.0
Ezri Konsa,Aston Villa,26,Prime,Center Back,Knee Injury,February,2024,6.43,6.4,0.03,Dropped,26.0,1,2.0
Youri Tielemans,Aston Villa,27,Prime,Central Midfielder,Calf Injury,December,2023,6.6,6.6,0.0,Dropped,30.0,1,12.0
Lucas Digne,Aston Villa,30,Senior,Left Back,Hamstring Injury,December,2023,6.35,6.3,0.05,Dropped,42.0,1,12.0
Pau Torres,Aston Villa,27,Prime,Center Back,Ankle Injury,January,2024,,6.3,,No Change,30.0,1,1.0
Pau Torres,Aston Villa,27,Prime,Center Back,Unknown Injury,December,2023,6.2,6.95,-0.75,Improved,5.0,1,12.0
Jhon Durán,Aston Villa,20,Young,Center Forward,Unknown Injury,August,2023,,6.0,,No Change,2.0,1,8.0
Jhon Durán,Aston Villa,20,Young,Center Forward,Hamstring Injury,January,2024,,5.3,,No Change,43.0,1,1.0
Jacob Ramsey,Aston Villa,23,Prime,Attacking Midfielder,Hamstring Injury,January,2024,6.0,6.3,-0.3,Improved,16.0,1,1.0
Harry Maguire,Man United,28,Prime,Center Back,Calf Injury,September,2021,7.43,5.7,1.73,Dropped,20.0,1,9.0
Harry Maguire,Man United,28,Prime,Center Back,Chest Injury,January,2022,6.3,6.6,-0.3,Improved,13.0,1,1.0
Harry Maguire,Man United,28,Prime,Center Back,Knee Problems,April,2022,5.97,7.0,-1.03,Improved,7.0,1,4.0
Harry Maguire,Man United,29,Prime,Center Back,Hamstring Injury,September,2022,6.05,5.9,0.15,Dropped,29.0,1,9.0
Victor Lindelof,Man United,25,Prime,Center Back,Ill,January,2020,6.27,6.27,0.0,Dropped,5.0,1,1.0
Victor Lindelof,Man United,26,Prime,Center Back,Back Injury,December,2020,6.67,6.97,-0.3,Improved,10.0,1,12.0
Victor Lindelof,Man United,26,Prime,Center Back,Coronavirus,December,2021,6.6,6.6,0.0,No Change,10.0,1,12.0
Victor Lindelof,Man United,27,Prime,Center Back,Ill,January,2022,6.6,6.0,0.6,Dropped,7.0,1,1.0
Victor Lindelof,Man United,28,Prime,Center Back,Back Problems,August,2022,,6.8,,No Change,24.0,1,8.0
Eric Bailly,Man United,26,Prime,Center Back,Knee Surgery,July,2019,,1.7,,No Change,169.0,1,7.0
Eric Bailly,Man United,27,Prime,Center Back,Muscle Injury,October,2020,4.75,6.83,-2.08,Improved,44.0,1,10.0
Eric Bailly,Man United,27,Prime,Center Back,Knock,January,2021,5.25,6.8,-1.55,Improved,63.0,1,1.0
Eric Bailly,Man United,27,Prime,Center Back,Coronavirus,March,2021,6.8,5.35,1.45,Dropped,20.0,1,3.0
Luke Shaw,Man United,25,Prime,Left Back,Ankle Injury,July,2020,5.87,5.87,0.0,No Change,59.0,1,7.0
Luke Shaw,Man United,25,Prime,Left Back,Hamstring Injury,November,2020,6.8,7.15,-0.35,Improved,30.0,1,11.0
Luke Shaw,Man United,26,Prime,Left Back,Head Injury,November,2021,6.9,6.5,0.4,Dropped,17.0,1,11.0
Luke Shaw,Man United,26,Prime,Left Back,Hamstring Injury,January,2022,6.5,6.93,-0.43,Improved,13.0,1,1.0
Luke Shaw,Man United,26,Prime,Left Back,Coronavirus,March,2022,6.05,5.6,0.45,Dropped,14.0,1,3.0
Luke Shaw,Man United,26,Prime,Left Back,Leg Injury,April,2022,5.6,5.55,0.05,Dropped,41.0,1,4.0
Luke Shaw,Man United,27,Prime,Left Back,Unknown Injury,April,2023,5.6,6.95,-1.35,Improved,13.0,1,4.0
Brandon Williams,Man United,19,Young,Left Back,Head Injury,July,2020,6.0,5.85,0.15,Dropped,4.0,1,7.0
Aaron Wan-Bissaka,Man United,22,Young,Right Back,Tonsillitis,September,2019,6.83,6.7,0.13,Dropped,22.0,1,9.0
Aaron Wan-Bissaka,Man United,23,Prime,Right Back,Hand Injury,November,2021,6.03,6.3,-0.27,Improved,5.0,1,11.0
Aaron Wan-Bissaka,Man United,23,Prime,Right Back,Ill,January,2022,6.3,6.0,0.3,Dropped,9.0,1,1.0
Aaron Wan-Bissaka,Man United,24,Prime,Right Back,Back Problems,September,2022,,7.07,,No Change,43.0,1,9.0
Nemanja Matic,Man United,31,Senior,Defensive Midfielder,Unknown Injury,October,2019,,7.35,,No Change,52.0,1,10.0
Nemanja Matic,Man United,32,Senior,Defensive Midfielder,Shin Injury,February,2022,6.8,6.0,0.8,Dropped,8.0,1,2.0
Paul Pogba,Man United,27,Prime,Central Midfielder,Ankle Problems,September,2019,6.67,6.6,0.07,Dropped,84.0,1,9.0
Paul Pogba,Man United,28,Prime,Central Midfielder,Ankle Injury,November,2020,6.0,7.63,-1.63,Improved,17.0,1,11.0
Paul Pogba,Man United,28,Prime,Central Midfielder,Hamstring Injury,February,2021,6.8,7.9,-1.1,Improved,42.0,1,2.0
